id,key,value,type
24231579,source,PGS,regular
24231584,source,PGS,regular
24231586,source,PGS,regular
24231588,source,PGS,regular
24231589,source,PGS,regular
24231591,source,PGS,regular
24231593,source,PGS,regular
24231594,source,PGS,regular
24231596,source,PGS,regular
24231598,source,PGS,regular
24231599,source,PGS,regular
24231601,source,PGS,regular
24231603,source,PGS,regular
24231604,source,PGS,regular
24231606,source,PGS,regular
24231608,source,PGS,regular
24231609,source,PGS,regular
24231612,source,PGS,regular
24231613,source,PGS,regular
24231615,source,PGS,regular
24231617,source,PGS,regular
24231618,source,PGS,regular
24231620,source,PGS,regular
24231621,source,PGS,regular
24231623,source,PGS,regular
24231625,source,PGS,regular
24231627,source,PGS,regular
24231628,source,PGS,regular
24231630,source,PGS,regular
24231635,source,PGS,regular
24231637,source,PGS,regular
24231643,source,PGS,regular
24231650,source,PGS,regular
24231654,source,PGS,regular
24231655,source,PGS,regular
24231657,source,PGS,regular
24231659,source,PGS,regular
24231665,source,PGS,regular
24231670,source,PGS,regular
24231674,source,PGS,regular
24231676,source,PGS,regular
27565080,admin_level,2,regular
27565080,capital,yes,regular
27565080,capital_ISO3166-1,yes,regular
27565080,ele,61,regular
27565080,name,Accra,regular
27565080,ak,Nkran,name
27565080,am,አክራ,name
27565080,ar,أكرا,name
27565080,arz,اكرا,name
27565080,az,Akkra,name
27565080,bat-smg,Akra,name
27565080,be,Акра,name
27565080,bg,Акра,name
27565080,bo,ཨ་ཁ་ར།,name
27565080,ckb,ئاکرا,name
27565080,cv,Аккра,name
27565080,de,Accra,name
27565080,el,Άκκρα,name
27565080,en,Accra,name
27565080,eo,Akrao,name
27565080,es,Acra,name
27565080,eu,Akkra,name
27565080,fa,آکرا,name
27565080,fr,Accra,name
27565080,fy,Akkra,name
27565080,he,אקרה,name
27565080,ht,Akra,name
27565080,hu,Accra,name
27565080,hy,Ակրա,name
27565080,is,Akkra,name
27565080,ja,アクラ,name
27565080,ka,აკრა,name
27565080,kn,ಅಕ್ಕ್ರಾ,name
27565080,ko,아크라,name
27565080,ky,Аккра,name
27565080,lt,Akra,name
27565080,lv,Akra,name
27565080,mk,Акра,name
27565080,ml,അക്ര,name
27565080,mr,आक्रा,name
27565080,mrj,Аккра,name
27565080,my,အက်ခရာမြို့,name
27565080,nov,Akra,name
27565080,oc,Accra,name
27565080,os,Аккрæ,name
27565080,pl,Akra,name
27565080,pnb,عکرہ,name
27565080,pt,Acra,name
27565080,ru,Аккра,name
27565080,sk,Akkra,name
27565080,sl,Akra,name
27565080,sq,Akra,name
27565080,sr,Акра,name
27565080,sv,Accra,name
27565080,ta,அக்ரா,name
27565080,tg,Аккра,name
27565080,th,อักกรา,name
27565080,tr,"Akra, Gana",name
27565080,tw,Nkran,name
27565080,udm,Аккра,name
27565080,uk,Аккра,name
27565080,ur,اکرا,name
27565080,xmf,აკრა,name
27565080,yi,אקרא,name
27565080,yo,Aakrá,name
27565080,zh,阿克拉,name
27565080,place,city,regular
27565080,population,2388000,regular
27565080,wikidata,Q3761,regular
27565080,wikipedia,en:Accra,regular
30730019,highway,traffic_signals,regular
30730090,amenity,restaurant,regular
30730090,created_by,Potlatch 0.5,regular
30730090,name,Home Touch,regular
30730104,created_by,Potlatch 0.5,regular
30730104,military,barracks,regular
30730104,name,Air Force Officers' Mess,regular
30730108,bus,yes,regular
30730108,highway,bus_stop,regular
30730108,name,Home Touch,regular
30730108,public_transport,platform,regular
30730108,source,survey summer 2017 - AccraMobile3 project,regular
30748419,created_by,Potlatch 0.5,regular
30748419,name,Cantonments,regular
30748419,place,suburb,regular
30748419,wikidata,Q5034012,regular
30936406,highway,traffic_signals,regular
30936411,highway,traffic_signals,regular
30936412,highway,traffic_signals,regular
33529880,highway,traffic_signals,regular
99320040,highway,traffic_signals,regular
99338573,highway,traffic_signals,regular
99338573,direction,both,traffic_signals
99338878,crossing_ref,pelican,regular
99338878,highway,traffic_signals,regular
99346863,amenity,place_of_worship,regular
99346863,denomination,methodist,regular
99346863,religion,christian,regular
99377054,highway,crossing,regular
99384439,traffic_sign,UK:616,regular
99421424,junction,yes,regular
99421424,name,Labone Junction,regular
99490875,name,Kokomlemle,regular
99490875,place,town,regular
99490875,population,35320,regular
99490875,wikidata,Q20644890,regular
100272726,highway,traffic_signals,regular
100276090,crossing,zebra,regular
100276090,highway,crossing,regular
101447345,amenity,fire_station,regular
101447345,name,Ghana National Fire Service Headquarters,regular
101447835,amenity,place_of_worship,regular
101447835,religion,muslim,regular
101447835,source,Maxar,regular
101462810,highway,traffic_signals,regular
102665939,highway,traffic_signals,regular
102667612,highway,crossing,regular
102670902,highway,traffic_signals,regular
102671098,highway,traffic_signals,regular
102704764,name,Nyaniba Estates,regular
102704764,place,suburb,regular
102737152,amenity,fuel,regular
102737152,brand,Total,regular
102737152,name,Total,regular
102738551,amenity,fuel,regular
102738551,created_by,Potlatch 0.5,regular
102738551,name,Shell,regular
102775650,is_in,"Accra Metropolitan Area,Greater Accra Region,Ghana",regular
102775650,name,Ministries,regular
102775650,place,suburb,regular
102778320,created_by,Potlatch 0.5,regular
102778320,is_in,"Accra Metropolitan Area,Greater Accra Region,Ghana",regular
102778320,name,Osu,regular
102778320,place,suburb,regular
102778320,wikidata,Q1752686,regular
102779677,is_in,"Accra Metropolitan Area,Greater Accra Region,Ghana",regular
102779677,name,Labone,regular
102779677,place,suburb,regular
104286512,crossing,uncontrolled,regular
104286512,crossing_ref,zebra,regular
104286512,highway,crossing,regular
104287876,crossing,uncontrolled,regular
104287876,crossing_ref,zebra,regular
104287876,highway,crossing,regular
104349631,highway,traffic_signals,regular
104595755,crossing,zebra,regular
104595755,highway,crossing,regular
105456790,amenity,bank,regular
105456790,brand,Absa,regular
105456790,wikidata,Q58641733,brand
105456790,wikipedia,en:Absa Group Limited,brand
105456790,name,Absa,regular
105456790,old_name,Barclays,regular
105456790,operator,Absa Group Limited,regular
105457591,amenity,bank,regular
105457591,atm,yes,regular
105457591,name,Standard Chartered,regular
105457591,operator,Standard Chartered,regular
105476254,street,Oxford Street,addr
105476254,amenity,fast_food,regular
105476254,name,Papaye,regular
105476254,opening_hours,Mo-Fr 10:00-22:00; Sa-Su 10:00-23:00; PH 10:00-23:00,regular
105476254,phone,+233 302773754,regular
105476254,website,http://www.papayegroup.com,regular
105479527,amenity,restaurant,regular
105479527,name,Frankie's,regular
105485619,name,Penta Hotel,regular
105485619,tourism,hotel,regular
