id,user,uid,version,changeset,timestamp
4179115,GabiStone,10127263,12,93958015,2020-11-12T01:36:25Z
4790601,ahab003,4497723,12,42906719,2016-10-14T21:08:45Z
4790604,yaya_B,8484081,13,62233279,2018-09-03T02:24:30Z
4790610,ahab003,4497723,4,42906904,2016-10-14T21:19:34Z
4790617,Enock4seth,1803854,21,99858758,2021-02-23T23:09:43Z
4790622,GO_OSM,282860,7,39836880,2016-06-06T11:58:48Z
4790626,RGSwimmer,8559138,18,63802878,2018-10-23T16:40:00Z
4790630,jet_01,10794995,11,88242031,2020-07-20T11:04:05Z
4797161,yaya_B,8484081,13,62233279,2018-09-03T02:24:30Z
4816384,Speedy55,3775202,5,43037124,2016-10-20T16:19:37Z
5019317,Enock4seth,1803854,27,99858758,2021-02-23T23:09:43Z
5019318,Enock4seth,1803854,27,99858758,2021-02-23T23:09:43Z
5019321,Enock4seth,1803854,16,69543340,2019-04-24T22:09:36Z
5019322,Enock4seth,1803854,29,51102392,2017-08-14T08:18:43Z
5024940,Enock4seth,1803854,15,65882518,2018-12-30T09:07:58Z
5029826,NewDorp,9847917,13,81479964,2020-02-26T03:24:12Z
5030569,Amit kumar Yadav,8782067,31,79868298,2020-01-21T17:14:13Z
11152422,Enock4seth,1803854,17,91564946,2020-09-26T22:11:51Z
11153080,Enock4seth,1803854,13,91564946,2020-09-26T22:11:51Z
11153130,ChadSi,7725447,38,63875955,2018-10-25T17:27:20Z
11153564,Enock4seth,1803854,13,80253201,2020-01-29T11:41:01Z
11154880,Ljose,10285113,40,79231677,2020-01-06T05:32:44Z
11155633,opafem,3332656,7,50351246,2017-07-17T13:42:11Z
11155713,98Ujm,1287957,34,90702204,2020-09-10T12:23:32Z
11156913,jet_01,10794995,14,88356945,2020-07-22T15:27:40Z
11157079,cartorhythm,8610585,12,63767259,2018-10-22T17:35:14Z
11157176,cartorhythm,8610585,10,63767259,2018-10-22T17:35:14Z
11159116,cartorhythm,8610585,13,63791153,2018-10-23T11:03:20Z
11159358,yusha5,7918503,14,63826890,2018-10-24T10:25:16Z
11159359,yusha5,7918503,20,63826890,2018-10-24T10:25:16Z
11160683,Enock4seth,1803854,20,91564946,2020-09-26T22:11:51Z
11160919,Enock4seth,1803854,17,67552364,2019-02-25T15:24:06Z
11161257,historicalYas,7532068,13,62791140,2018-09-21T10:08:34Z
11161617,Dotty1,6441824,14,52021264,2017-09-13T21:48:02Z
11162310,cartorhythm,8610585,14,63767259,2018-10-22T17:35:14Z
11162579,Enock4seth,1803854,19,68354713,2019-03-20T21:56:01Z
11162654,GO_OSM,282860,10,12969765,2012-09-03T16:23:50Z
11162743,MyWayOrNoHighway,4351550,12,43128530,2016-10-24T16:10:44Z
11162790,ahab003,4497723,11,43040477,2016-10-20T17:53:56Z
11163273,VIJETH KLR,10285122,30,79855744,2020-01-21T12:37:32Z
11163307,vidya15,9086396,8,70321542,2019-05-16T14:24:47Z
11163449,GO_OSM,282860,7,31180479,2015-05-15T15:53:19Z
11163580,seena monachan,9086401,9,80120015,2020-01-27T05:43:26Z
11164410,Speedy55,3775202,7,43020715,2016-10-19T21:56:14Z
11164589,Enock4seth,1803854,11,79270124,2020-01-07T00:57:12Z
11164668,GO_OSM,282860,9,33331291,2015-08-14T08:31:52Z
11164700,historicalYas,7532068,9,62792781,2018-09-21T10:57:46Z
11164842,MyWayOrNoHighway,4351550,9,43128282,2016-10-24T16:04:42Z
11165530,Enock4seth,1803854,7,74059924,2019-09-03T22:36:57Z
11166825,DoodleBob,4339485,17,43145621,2016-10-24T23:17:08Z
11166852,Akwasi_Triggar,10054757,27,76842375,2019-11-09T11:43:37Z
11167271,Priyanka_Kumari,10285114,28,79860226,2020-01-21T14:02:37Z
11167360,yaya_B,8484081,21,62123527,2018-08-30T01:32:30Z
11167906,jet_01,10794995,12,88242031,2020-07-20T11:04:05Z
11168111,GO_OSM,282860,8,33331291,2015-08-14T08:31:54Z
11168166,cartorhythm,8610585,9,63768795,2018-10-22T18:26:43Z
11168405,MyWayOrNoHighway,4351550,10,43128282,2016-10-24T16:04:42Z
11171123,Enock4seth,1803854,14,83737408,2020-04-18T09:53:06Z
11171334,historicalYas,7532068,39,62791537,2018-09-21T10:21:01Z
11171879,historicalYas,7532068,8,62798147,2018-09-21T13:40:18Z
11172215,historicalYas,7532068,8,62792070,2018-09-21T10:36:23Z
11172487,historicalYas,7532068,13,62791537,2018-09-21T10:21:01Z
11172567,FasterTracker,11687972,10,97864924,2021-01-20T23:56:45Z
11172810,Enock4seth,1803854,15,60116533,2018-06-24T09:47:00Z
11172812,Dotty1,6441824,13,50995320,2017-08-10T09:25:36Z
11283982,Krishna CS,10285132,19,80676807,2020-02-07T07:06:34Z
11283984,Enock4seth,1803854,15,67285319,2019-02-17T16:46:47Z
11283989,ahab003,4497723,10,42905928,2016-10-14T20:29:32Z
11284946,Enock4seth,1803854,40,91564946,2020-09-26T22:11:51Z
11287593,Enock4seth,1803854,22,80848051,2020-02-11T11:46:33Z
11288268,ahab003,4497723,18,42905928,2016-10-14T20:29:32Z
11393624,Enock4seth,1803854,3,99858395,2021-02-23T22:55:14Z
11393961,Michael Baidoo,12280809,14,95793800,2020-12-14T08:36:08Z
11393978,cartorhythm,8610585,9,63791153,2018-10-23T11:03:20Z
11394197,cartorhythm,8610585,8,63791153,2018-10-23T11:03:20Z
11395161,GO_OSM,282860,5,31906419,2015-06-11T20:19:47Z
